COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
Santa Clara,2021,259,5251,0.46332046332046334,0.9536679536679536,7200,,4.450381679389313,,87.4885496183206,82.67175572519083,83.4885496183206,90.46564885496183,87.93129770992367,90.0
Santa Cruz,2021,27,423,0.4074074074074074,0.8888888888888888,1256,,4.5,,88.5,81.0,85.0,90.0,88.5,90.5
Shasta,2021,16,416,0.5,1.0,824,,4.5,,79.0,82.0,84.5,83.5,89.0,91.0
Solano,2021,101,1731,0.8811881188118812,0.9504950495049505,3344,,4.75,,89.0,84.375,82.625,89.375,89.5,91.75
Sonoma,2021,62,1262,0.5161290322580645,1.0,1656,,4.25,,83.25,81.75,82.0,86.75,88.0,90.0
Stanislaus,2021,129,2217,0.5891472868217055,1.0,2894,,4.516129032258065,,86.96774193548387,83.64516129032258,81.64516129032258,89.70967741935483,89.19354838709677,91.09677419354838
Sutter,2021,16,360,1.0,1.0,480,,5.0,,80.0,79.0,86.0,85.0,88.0,91.0
Tehama,2021,8,120,1.0,1.0,344,,5.0,,85.0,88.0,88.0,89.0,95.0,96.0
Tulare,2021,67,1335,0.8805970149253731,0.8805970149253731,2432,,3.8333333333333335,,84.33333333333333,80.33333333333333,84.0,87.0,87.33333333333333,88.33333333333333
Tuolumne,2021,8,92,0.0,1.0,0,,,,,,,,,
Ventura,2021,125,2235,1.0,0.992,3224,,4.375,,87.625,82.5,83.125,91.125,89.875,91.0
Yolo,2021,18,322,1.0,0.7222222222222222,655,,4.533333333333333,,85.0,84.06666666666666,88.4,85.0,90.0,90.06666666666666
Yuba,2021,8,120,1.0,1.0,248,,4.0,,72.0,82.0,82.0,76.0,87.0,88.0
Alameda,2022,249,4952,0.8273092369477911,1.0,4380,,3.392156862745098,,80.31372549019608,81.41176470588235,78.62745098039215,83.37254901960785,86.88235294117646,87.86274509803921
Butte,2022,36,680,0.7777777777777778,1.0,536,,4.0,,86.0,83.0,84.5,87.0,90.0,90.5
Columbia,2022,2,26,1.0,1.0,0,,,,,,,,,
Contra Costa,2022,154,2849,0.961038961038961,1.0,3145,,3.4936708860759493,,80.9620253164557,80.78481012658227,78.30379746835443,82.68354430379746,86.39240506329114,88.10126582278481
Del Norte,2022,4,36,1.0,0.0,0,,,,,,,,,
El Dorado,2022,8,185,1.0,1.0,248,,5.0,,88.0,91.0,89.0,92.0,95.0,96.0
Fresno,2022,134,2614,0.8955223880597015,0.8955223880597015,2764,,3.238095238095238,,77.17460317460318,77.04761904761905,79.66666666666667,81.68253968253968,84.6984126984127,86.66666666666667
Humboldt,2022,16,222,1.0,1.0,0,,,,,,,,,
Imperial,2022,40,800,1.0,1.0,520,,4.0,,88.0,81.0,83.0,87.5,89.0,90.5
Inyo,2022,8,96,0.0,0.0,0,,,,,,,,,
Kern,2022,136,3179,1.0,0.9338235294117647,1336,,4.0,,82.33333333333333,84.66666666666667,79.66666666666667,85.33333333333333,87.0,90.33333333333333
Kings,2022,32,448,1.0,1.0,576,,4.0,,78.0,82.5,85.5,83.5,88.5,88.5
Lake,2022,15,180,1.0,1.0,0,,,,,,,,,
